number of locker:6
0,116.385115,39.855678,1
1,116.30445,39.939232,0
2,116.376745,40.106884,0
3,116.505102,39.979659,1
4,116.356626,39.949421,1
5,116.36636,39.959313,0
number of tasks:30
4,5,(825,915)
5,0,(720,855)
1,2,(1110,1260)
0,2,(510,660)
1,3,(675,810)
0,1,(975,1110)
4,5,(585,660)
5,4,(825,900)
2,1,(1035,1095)
4,5,(735,795)
5,0,(1185,1260)
4,1,(750,900)
1,2,(975,1125)
5,3,(1095,1185)
5,0,(705,765)
4,3,(885,945)
4,1,(1050,1140)
3,4,(1035,1095)
1,5,(645,795)
3,2,(765,900)
0,1,(990,1125)
1,2,(1110,1245)
5,2,(1155,1275)
5,4,(555,675)
0,3,(720,870)
3,0,(600,735)
5,3,(975,1110)
0,1,(1215,1305)
2,3,(660,720)
0,1,(780,840)
